Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Clerk;instance1342;START;Credit application received;26837.609231910206;26837.609231910206;26837.609231910206;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1340;activity;Make credit offer;26828.915884326816;26828.915884326816;26838.98066285714;0.0;10.064778530321593;5;10.064778530321593;Credit Officer;;
Credit Application Credit Officer;instance1340;END;Credit application processed;26838.98066285714;26838.98066285714;26838.98066285714;0.0;0.0;0;0;;;
Credit Application Clerk;instance1342;activity;Check income sources;26837.609231910206;26837.609231910206;26842.210225415824;0.0;4.6009935056166755;5;2.3004967528083378;Clerk;;
Credit Application Credit Officer;instance1341;activity;Assess application;26826.979350180176;26826.979350180176;26846.99446699152;0.0;20.01511681134421;5;20.01511681134421;Credit Officer;;
Credit Application Clerk;instance1342;activity;Check credit history;26837.609231910206;26837.609231910206;26849.357142810808;0.0;11.747910900603335;5;5.8739554503016675;Clerk;;
Credit Application Clerk;instance1342;intermediate;Credit Application checked;26849.357142810808;26849.357142810808;26849.357142810808;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1342;START;Credit application received;26849.357142810808;26849.357142810808;26849.357142810808;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1341;activity;Notify rejection;26846.99446699152;26846.99446699152;26856.82539948003;0.0;9.830932488507939;5;9.830932488507939;Credit Officer;;
Credit Application Credit Officer;instance1341;activity;Receive customer feedback;26856.82539948003;26856.82539948003;26856.82539948003;0.0;0;0;0;;;
Credit Application Clerk;instance1343;START;Credit application received;26858.667476377283;26858.667476377283;26858.667476377283;0.0;0.0;0;0;;;
Credit Application Clerk;instance1342;activity;Send e-mail to customer;26849.357142810808;26849.357142810808;26861.52402259386;0.0;12.166879783051726;5;6.083439891525863;Clerk;;
Credit Application Clerk;instance1342;END;Customer notified;26861.52402259386;26861.52402259386;26861.52402259386;0.0;0.0;0;0;;;
Credit Application Clerk;instance1343;activity;Check credit history;26858.667476377283;26858.667476377283;26866.871498785156;0.0;8.20402240787338;5;4.10201120393669;Clerk;;
Credit Application Clerk;instance1343;activity;Check income sources;26858.667476377283;26858.667476377283;26868.942889961538;0.0;10.27541358425451;5;5.137706792127255;Clerk;;
Credit Application Clerk;instance1343;intermediate;Credit Application checked;26868.942889961538;26868.942889961538;26868.942889961538;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1343;START;Credit application received;26868.942889961538;26868.942889961538;26868.942889961538;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1342;activity;Assess application;26849.357142810808;26849.357142810808;26870.46511111198;0.0;21.10796830117024;5;21.10796830117024;Credit Officer;;
Credit Application Credit Officer;instance1341;activity;Assess application;26856.82539948003;26856.82539948003;26877.036963099225;0.0;20.211563619194436;5;20.211563619194436;Credit Officer;;
Credit Application Clerk;instance1344;START;Credit application received;26880.056802981166;26880.056802981166;26880.056802981166;0.0;0.0;0;0;;;
Credit Application Clerk;instance1343;activity;Send e-mail to customer;26868.942889961538;26868.942889961538;26880.51135744264;0.0;11.568467481100628;5;5.784233740550314;Clerk;;
Credit Application Clerk;instance1343;END;Customer notified;26880.51135744264;26880.51135744264;26880.51135744264;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1342;activity;Make credit offer;26870.46511111198;26877.036963099225;26884.045497990097;6.571851987246191;7.008534890874113;5;7.008534890874113;Credit Officer;;
Credit Application Credit Officer;instance1342;END;Credit application processed;26884.045497990097;26884.045497990097;26884.045497990097;0.0;0.0;0;0;;;
Credit Application Clerk;instance1344;activity;Check income sources;26880.056802981166;26880.056802981166;26888.524017950393;0.0;8.46721496922536;5;4.23360748461268;Clerk;;
Credit Application Clerk;instance1344;activity;Check credit history;26880.056802981166;26880.056802981166;26889.803781618997;0.0;9.746978637832099;5;4.873489318916049;Clerk;;
Credit Application Clerk;instance1344;intermediate;Credit Application checked;26889.803781618997;26889.803781618997;26889.803781618997;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1344;START;Credit application received;26889.803781618997;26889.803781618997;26889.803781618997;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1343;activity;Assess application;26868.942889961538;26870.46511111198;26891.612586224644;1.5222211504406005;21.147475112666548;5;21.147475112666548;Credit Officer;;
Credit Application Credit Officer;instance1341;activity;Make credit offer;26877.036963099225;26884.045497990097;26892.08780367215;7.008534890872397;8.042305682056215;5;8.042305682056215;Credit Officer;;
Credit Application Credit Officer;instance1341;END;Credit application processed;26892.08780367215;26892.08780367215;26892.08780367215;0.0;0.0;0;0;;;
Credit Application Clerk;instance1344;activity;Send e-mail to customer;26889.803781618997;26889.803781618997;26899.2993013771;0.0;9.495519758102834;5;4.747759879051417;Clerk;;
Credit Application Clerk;instance1344;END;Customer notified;26899.2993013771;26899.2993013771;26899.2993013771;0.0;0.0;0;0;;;
Credit Application Clerk;instance1345;START;Credit application received;26900.069852670018;26900.069852670018;26900.069852670018;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1343;activity;Make credit offer;26891.612586224644;26892.08780367215;26900.393916063378;0.47521744750702055;8.306112391225545;5;8.306112391225545;Credit Officer;;
